doc_id,type,text,incorrectly_detected,matched_predictions
syn_doc_001,ORG,The Risk Committee,False,[]
syn_doc_001,ORG,Global Compliance Division,True,"[{""type"": ""ORG"", ""text"": ""Global Compliance Division"", ""start"": 455, ""end"": 481, ""score"": 0.5408031940460205}, {""type"": ""ORG"", ""text"": ""Global Compliance Division"", ""start"": 1844, ""end"": 1870, ""score"": 0.7907431125640869}]"
syn_doc_001,ORG,Audit and Monitoring Unit,False,[]
syn_doc_003,ORG,Internal Review Board,True,"[{""type"": ""ORG"", ""text"": ""Internal Review Board"", ""start"": 1492, ""end"": 1513, ""score"": 0.7005757093429565}, {""type"": ""ORG"", ""text"": ""Internal Review Board"", ""start"": 2189, ""end"": 2210, ""score"": 0.8384206295013428}]"
syn_doc_003,ORG,Internal Audit Support Unit,True,"[{""type"": ""ORG"", ""text"": ""Internal Audit Support Unit"", ""start"": 2946, ""end"": 2973, ""score"": 0.5164315104484558}]"
syn_doc_003,ORG,Internal Audit Office,True,"[{""type"": ""ORG"", ""text"": ""Internal Audit Office"", ""start"": 3152, ""end"": 3173, ""score"": 0.8527387976646423}]"
syn_doc_005,ORG,Anti-Money Laundering,False,[]
syn_doc_005,ORG,Know Your Customer,False,[]
syn_doc_005,ORG,The Compliance Review Panel,False,[]
syn_doc_006,ORG,Audit Steering Committee,True,"[{""type"": ""ORG"", ""text"": ""Audit Steering Committee"", ""start"": 1320, ""end"": 1344, ""score"": 0.8933272957801819}, {""type"": ""ORG"", ""text"": ""Audit Steering Committee"", ""start"": 2042, ""end"": 2066, ""score"": 0.8912474513053894}]"
syn_doc_006,ORG,Audit Oversight Division,True,"[{""type"": ""ORG"", ""text"": ""Audit Oversight Division"", ""start"": 2819, ""end"": 2843, ""score"": 0.803855836391449}]"
syn_doc_006,PERSON,Smith,False,[]
syn_doc_007,DATE,2025-12-25,False,[]
syn_doc_008,ORG,Financial Oversight Panel,True,"[{""type"": ""ORG"", ""text"": ""Financial Oversight Panel"", ""start"": 1449, ""end"": 1474, ""score"": 0.7799555063247681}]"
syn_doc_008,PHONE,532-123-4567,False,[]
syn_doc_008,DATE,2023-778,False,[]
