doc_id,type,text,incorrectly_detected,matched_predictions
syn_doc_001,ORG,The Risk Committee,True,"[{""type"": ""ORG"", ""text"": ""The Risk Committee"", ""start"": 1109, ""end"": 1127, ""score"": 0.85}]"
syn_doc_001,ORG,Global Compliance Division,False,[]
syn_doc_001,ORG,Audit and Monitoring Unit,False,[]
syn_doc_003,ORG,Internal Review Board,False,[]
syn_doc_003,ORG,Internal Audit Support Unit,False,[]
syn_doc_003,ORG,Internal Audit Office,False,[]
syn_doc_005,ORG,Anti-Money Laundering,False,[]
syn_doc_005,ORG,Know Your Customer,False,[]
syn_doc_005,ORG,The Compliance Review Panel,True,"[{""type"": ""ORG"", ""text"": ""The Compliance Review Panel"", ""start"": 1472, ""end"": 1499, ""score"": 0.85}]"
syn_doc_006,ORG,Audit Steering Committee,False,[]
syn_doc_006,ORG,Audit Oversight Division,False,[]
syn_doc_006,PERSON,Smith,True,"[{""type"": ""PERSON"", ""text"": ""Smith"", ""start"": 2422, ""end"": 2427, ""score"": 0.85}]"
syn_doc_007,DATE,2025-12-25,True,"[{""type"": ""DATE"", ""text"": ""2025-12-25"", ""start"": 1643, ""end"": 1653, ""score"": 1.0}]"
syn_doc_008,ORG,Financial Oversight Panel,False,[]
syn_doc_008,PHONE,532-123-4567,True,"[{""type"": ""PHONE"", ""text"": ""532-123-4567"", ""start"": 2680, ""end"": 2692, ""score"": 1.0}]"
syn_doc_008,DATE,2023-778,False,[]
syn_doc_009,ORG,Oversight Forum,False,[]
syn_doc_009,IBAN,TP330006100519786457841326,True,"[{""type"": ""IBAN"", ""text"": ""TP330006100519786457841326"", ""start"": 3884, ""end"": 3910, ""score"": 1.0}]"
syn_doc_009,PERSON,Becker,True,"[{""type"": ""PERSON"", ""text"": ""Becker"", ""start"": 2349, ""end"": 2355, ""score"": 0.85}]"
syn_doc_010,ORG,Documentation Review Council,False,[]
syn_doc_010,ORG,Governance and Documentation Division,False,[]
syn_doc_010,PERSON,Anderson,True,"[{""type"": ""PERSON"", ""text"": ""Anderson"", ""start"": 1710, ""end"": 1718, ""score"": 0.85}]"
syn_doc_011,ORG,central policy repository,False,[]
syn_doc_011,DATE,2025-12-25,True,"[{""type"": ""DATE"", ""text"": ""2025-12-25"", ""start"": 1949, ""end"": 1959, ""score"": 1.0}]"
syn_doc_011,PHONE,532-123-4567,True,"[{""type"": ""PHONE"", ""text"": ""532-123-4567"", ""start"": 2024, ""end"": 2036, ""score"": 1.0}]"
syn_doc_012,ORG,Office of General Counsel,True,"[{""type"": ""ORG"", ""text"": ""Office of General Counsel"", ""start"": 68, ""end"": 93, ""score"": 0.85}]"
syn_doc_012,IBAN,WT330006100519786457841326,True,"[{""type"": ""IBAN"", ""text"": ""WT330006100519786457841326"", ""start"": 1784, ""end"": 1810, ""score"": 1.0}]"
syn_doc_013,ORG,central governance function,False,[]
syn_doc_013,ORG,Governance Oversight Lead,False,[]
syn_doc_013,PERSON,Johnson,False,[]
syn_doc_014,CREDIT_CARD,4111 1111 1111 1111,True,"[{""type"": ""CREDIT_CARD"", ""text"": ""4111 1111 1111 1111"", ""start"": 4010, ""end"": 4029, ""score"": 1.0}]"
syn_doc_015,DATE,2024,False,[]
syn_doc_015,LOCATION,oslo,False,[]
syn_doc_016,ORG,Cross-Border Transaction Anomaly Review Report,False,[]
syn_doc_018,DATE,11/12/11,True,"[{""type"": ""DATE"", ""text"": ""11/12/11"", ""start"": 1650, ""end"": 1658, ""score"": 1.0}]"
syn_doc_019,PHONE,22 678 4412,True,"[{""type"": ""PHONE"", ""text"": ""22 678 4412"", ""start"": 1416, ""end"": 1427, ""score"": 1.0}]"
syn_doc_020,DATE,early November,False,[]
syn_doc_020,ORG,Internal Coordination Office,False,[]
syn_doc_021,PERSON,John Doe,True,"[{""type"": ""PERSON"", ""text"": ""John Doe"", ""start"": 2433, ""end"": 2441, ""score"": 0.85}]"
syn_doc_023,PERSON,Jane Smith,True,"[{""type"": ""PERSON"", ""text"": ""Jane Smith"", ""start"": 2643, ""end"": 2653, ""score"": 0.85}]"
syn_doc_023,LOCATION,Central Region,True,"[{""type"": ""LOCATION"", ""text"": ""Central Region"", ""start"": 2490, ""end"": 2504, ""score"": 0.85}]"
syn_doc_024,ORG,Multi-Stage Transaction Activity Investigation Report,False,[]
syn_doc_027,LOCATION,London Office,False,[]
syn_doc_029,ORG,Paris Office,False,[]
syn_doc_031,DATE,2024-04,False,[]
syn_doc_031,ORG,security group,False,[]
syn_doc_032,LOCATION,East Region Office Zone,True,"[{""type"": ""LOCATION"", ""text"": ""East Region Office Zone"", ""start"": 2309, ""end"": 2332, ""score"": 0.85}]"
